maturity,RW,NS_static,DNS,PCA,VAR
CN_10Y,0.0957,0.1141,0.105,0.0957,0.1773
CN_15Y,0.0912,0.0948,0.0993,0.0912,0.1464
CN_1Y,0.1249,0.1262,0.1395,0.1249,0.2746
CN_20Y,0.0959,0.1044,0.1177,0.0959,0.1371
CN_2Y,0.1041,0.1078,0.1351,0.1041,0.2579
CN_30Y,0.106,0.1166,0.1167,0.106,0.1583
CN_3M,0.1972,0.1884,0.1937,0.1972,0.3538
CN_3Y,0.1046,0.1063,0.1247,0.1046,0.2388
CN_5Y,0.0918,0.0974,0.1037,0.0918,0.2153
CN_6M,0.1563,0.1623,0.1878,0.1563,0.335
CN_7Y,0.0935,0.0883,0.1028,0.0935,0.2022
CN_9M,0.1376,0.1327,0.1495,0.1376,0.2969
